GEOID,year,state,county,crime,value
01025,2014,Alabama,Clarke,DUI,259.17
01025,2014,Alabama,Clarke,Liquor Violation,15.95
01025,2014,Alabama,Clarke,Drunkenness,67.78
01025,2014,Alabama,Clarke,Disorderly,91.71
01025,2014,Alabama,Clarke,Vagrancy,0
01025,2014,Alabama,Clarke,Other,498.41
01025,2014,Alabama,Clarke,Suspicion,0
01025,2014,Alabama,Clarke,Curfew,0
01025,2014,Alabama,Clarke,Runaway,0
01027,2014,Alabama,Clay,All Crime,3165.12
01027,2014,Alabama,Clay,Violent Crime,201.55
01027,2014,Alabama,Clay,Property Crime,298.6
01027,2014,Alabama,Clay,Murder,0
01027,2014,Alabama,Clay,Rape,7.46
01027,2014,Alabama,Clay,Robbery,0
01027,2014,Alabama,Clay,Assault,194.09
01027,2014,Alabama,Clay,Burglary,134.37
01027,2014,Alabama,Clay,Larceny,149.3
01027,2014,Alabama,Clay,Auto Theft,14.93
01027,2014,Alabama,Clay,Arson,0
01027,2014,Alabama,Clay,Other Assault,679.31
01027,2014,Alabama,Clay,Forgery,29.86
01027,2014,Alabama,Clay,Fraud,104.51
01027,2014,Alabama,Clay,Embezzlement,0
01027,2014,Alabama,Clay,Stolen Prop,59.72
01027,2014,Alabama,Clay,Vandalism,67.18
01027,2014,Alabama,Clay,Weapon Violation,0
01027,2014,Alabama,Clay,Prostitution,0
01027,2014,Alabama,Clay,Sex Offense,7.46
01027,2014,Alabama,Clay,Drug Related,0
01027,2014,Alabama,Clay,Gambling,0
01027,2014,Alabama,Clay,Family Child,0
01027,2014,Alabama,Clay,DUI,343.39
01027,2014,Alabama,Clay,Liquor Violation,37.32
01027,2014,Alabama,Clay,Drunkenness,126.9
01027,2014,Alabama,Clay,Disorderly,52.25
01027,2014,Alabama,Clay,Vagrancy,0
01027,2014,Alabama,Clay,Other,1149.6
01027,2014,Alabama,Clay,Suspicion,0
01027,2014,Alabama,Clay,Curfew,0
01027,2014,Alabama,Clay,Runaway,0
01029,2014,Alabama,Cleburne,All Crime,826.17
01029,2014,Alabama,Cleburne,Violent Crime,13.33
01029,2014,Alabama,Cleburne,Property Crime,213.21
01029,2014,Alabama,Cleburne,Murder,0
01029,2014,Alabama,Cleburne,Rape,0
01029,2014,Alabama,Cleburne,Robbery,6.66
01029,2014,Alabama,Cleburne,Assault,6.66
01029,2014,Alabama,Cleburne,Burglary,33.31
01029,2014,Alabama,Cleburne,Larceny,173.23
01029,2014,Alabama,Cleburne,Auto Theft,0
01029,2014,Alabama,Cleburne,Arson,0
01029,2014,Alabama,Cleburne,Other Assault,106.6
01029,2014,Alabama,Cleburne,Forgery,6.66
01029,2014,Alabama,Cleburne,Fraud,79.95
01029,2014,Alabama,Cleburne,Embezzlement,0
01029,2014,Alabama,Cleburne,Stolen Prop,6.66
01029,2014,Alabama,Cleburne,Vandalism,0
01029,2014,Alabama,Cleburne,Weapon Violation,6.66
01029,2014,Alabama,Cleburne,Prostitution,0
01029,2014,Alabama,Cleburne,Sex Offense,0
01029,2014,Alabama,Cleburne,Drug Related,39.98
01029,2014,Alabama,Cleburne,Gambling,0
01029,2014,Alabama,Cleburne,Family Child,0
01029,2014,Alabama,Cleburne,DUI,53.3
01029,2014,Alabama,Cleburne,Liquor Violation,13.33
01029,2014,Alabama,Cleburne,Drunkenness,46.64
01029,2014,Alabama,Cleburne,Disorderly,6.66
01029,2014,Alabama,Cleburne,Vagrancy,0
01029,2014,Alabama,Cleburne,Other,233.19
01029,2014,Alabama,Cleburne,Suspicion,0
01029,2014,Alabama,Cleburne,Curfew,0
01029,2014,Alabama,Cleburne,Runaway,0
01031,2014,Alabama,Coffee,All Crime,2180.31
01031,2014,Alabama,Coffee,Violent Crime,48.41
01031,2014,Alabama,Coffee,Property Crime,484.08
01031,2014,Alabama,Coffee,Murder,0
01031,2014,Alabama,Coffee,Rape,5.81
01031,2014,Alabama,Coffee,Robbery,15.49
01031,2014,Alabama,Coffee,Assault,27.11
01031,2014,Alabama,Coffee,Burglary,25.17
01031,2014,Alabama,Coffee,Larceny,443.42
01031,2014,Alabama,Coffee,Auto Theft,13.55
01031,2014,Alabama,Coffee,Arson,0
01031,2014,Alabama,Coffee,Other Assault,327.24
01031,2014,Alabama,Coffee,Forgery,15.49
01031,2014,Alabama,Coffee,Fraud,29.05
01031,2014,Alabama,Coffee,Embezzlement,5.81
01031,2014,Alabama,Coffee,Stolen Prop,23.24
01031,2014,Alabama,Coffee,Vandalism,13.55
01031,2014,Alabama,Coffee,Weapon Violation,15.49
01031,2014,Alabama,Coffee,Prostitution,0
01031,2014,Alabama,Coffee,Sex Offense,5.81
01031,2014,Alabama,Coffee,Drug Related,94.88
01031,2014,Alabama,Coffee,Gambling,0
01031,2014,Alabama,Coffee,Family Child,0
01031,2014,Alabama,Coffee,DUI,174.27
01031,2014,Alabama,Coffee,Liquor Violation,38.73
01031,2014,Alabama,Coffee,Drunkenness,129.73
01031,2014,Alabama,Coffee,Disorderly,38.73
01031,2014,Alabama,Coffee,Vagrancy,3.87
01031,2014,Alabama,Coffee,Other,733.87
01031,2014,Alabama,Coffee,Suspicion,0
01031,2014,Alabama,Coffee,Curfew,0
01031,2014,Alabama,Coffee,Runaway,0
01033,2014,Alabama,Colbert,All Crime,3380.01
01033,2014,Alabama,Colbert,Violent Crime,67.82
01033,2014,Alabama,Colbert,Property Crime,604.88
01033,2014,Alabama,Colbert,Murder,5.5
01033,2014,Alabama,Colbert,Rape,0
01033,2014,Alabama,Colbert,Robbery,3.67
01033,2014,Alabama,Colbert,Assault,60.49
01033,2014,Alabama,Colbert,Burglary,64.15
01033,2014,Alabama,Colbert,Larceny,529.73
01033,2014,Alabama,Colbert,Auto Theft,11
01033,2014,Alabama,Colbert,Arson,0
01033,2014,Alabama,Colbert,Other Assault,452.75
01033,2014,Alabama,Colbert,Forgery,0
01033,2014,Alabama,Colbert,Fraud,12.83
01033,2014,Alabama,Colbert,Embezzlement,20.16
01033,2014,Alabama,Colbert,Stolen Prop,23.83
01033,2014,Alabama,Colbert,Vandalism,31.16
01033,2014,Alabama,Colbert,Weapon Violation,49.49
01033,2014,Alabama,Colbert,Prostitution,0
01033,2014,Alabama,Colbert,Sex Offense,0
01033,2014,Alabama,Colbert,Drug Related,22
01033,2014,Alabama,Colbert,Gambling,0
01033,2014,Alabama,Colbert,Family Child,3.67
01033,2014,Alabama,Colbert,DUI,474.74
01033,2014,Alabama,Colbert,Liquor Violation,80.65
01033,2014,Alabama,Colbert,Drunkenness,395.92
01033,2014,Alabama,Colbert,Disorderly,87.98
01033,2014,Alabama,Colbert,Vagrancy,0
01033,2014,Alabama,Colbert,Other,1050.3
01033,2014,Alabama,Colbert,Suspicion,0
01033,2014,Alabama,Colbert,Curfew,0
01033,2014,Alabama,Colbert,Runaway,0
01035,2014,Alabama,Conecuh,All Crime,2951.74
01035,2014,Alabama,Conecuh,Violent Crime,78.09
01035,2014,Alabama,Conecuh,Property Crime,335.78
01035,2014,Alabama,Conecuh,Murder,0
01035,2014,Alabama,Conecuh,Rape,0
01035,2014,Alabama,Conecuh,Robbery,31.24
01035,2014,Alabama,Conecuh,Assault,54.66
01035,2014,Alabama,Conecuh,Burglary,70.28
